item_id	Seller	Actors	Actual Color	Artist ID	Aspect Ratio	Color	Genre ID	ISBN	Item Class ID	Literary Genre	MPAA Rating	Product Long Description	Product Name	Product Short Description	Publisher	Recommended Location	Recommended Room	Recommended Use	Short Description	Synopsis	actual_color	tag
0	Circuit City		Multicolor						1			"<b>Interfaces/Ports</b><li>Network (RJ-45):   Yes</li><b>General Information</b><li>Product Type:   PDU</li><li>Manufacturer Part Number:   PDU20MHVT10AT</li><li>Manufacturer Website Address:   http://www.cyberpowersystems.com</li><li>Manufacturer:   CyberPower Systems, Inc</li><li>Product Model:   PDU20MHVT10AT</li><li>Product Name:   PDU20MHVT10AT Metered ATS PDU 200-240V 20A 1U 10-Outlets (2) L6-20P</li><li>Product Series:   Metered</li><li>Brand Name:   CyberPower</li><b>Management</b><li>Management:    <li>HTTP</li> <li>TCP/IP</li> <li>UDP</li> <li>DHCP</li> <li>SNMP</li> <li>SNMPv3</li> <li>IPv4</li> <li>IPv6</li> <li>NTP</li> <li>SMTP</li> </li><b>Miscellaneous</b><b>Package Contents</b>  <li>PDU20MHVT10AT Metered ATS PDU 200-240V 20A 1U 10-Outlets (2) L6-20</li> <li>Mounting Brackets (1 Set)</li> <li>Cord Retention Tray</li> <li>Cord Organizers</li> <li>User Manual</li> <b>Compatibility</b>  <li>Data Centers</li> <li>Servers</li> <li>Network Devices</li> <li>Telecom Equipment</li>  <b>CyberPower UPS's:</b><br />  <li>PR5000LCDRTXL5U</li> <li>PR6000LCDRTXL5U</li> <li>OL6000RT3U</li> <li>OL6000RT3UTF</li> <li>OL8000RT3UTF</li> <li>OL10000RT3UTF</li> <b>Certifications & Standards</b>  <li>UL60950-1 Certified by ETL (USA)</li> <li>CSA C22.2(Canada)</li> <li>FCC Class A</li> <b>Green Compliant</b> Yes<b>Green Compliance Certificate/Authority</b> RoHS<b>Physical Characteristics</b><li>Weight (Approximate):   11.46 lb</li><li>Form Factor:   Horizontal Rackmount</li><li>Rack Height:   1U</li><li>Cord Length:   10 ft</li><li>Height:   1.8""</li><li>Width:   17.1""</li><li>Depth:   9.3""</li><li>Number of Cord/Cable:   2</li><b>Power Description</b><li>Input Voltage:   230 V AC</li><li>Output Voltage:   230 V AC</li><li>Input Current:   20 A</li><b>Technical Information</b><li>Input Receptacles:   2 x NEMA L6-20P</li><li>Output Receptacles:   8 x IEC 60320 C13</li><li>Protection Type:   Under Voltage Protection</li><b>Warranty</b><li>Limited Warranty:   3 Year</li>"	Cyberpower Metered ATS PDU 200-240V 20A 1U 10-Outlets (2) L6-20P PDU20MHVT10AT						The CyberPower PDU20MHVT10AT, a 10-outlet 1U rack mount metered auto transfer switch (ATS) PDU, provides 200-240V / 20A output. The PDU distributes power to 10 IEC-320 8-C13 / 2-C14 receptacles from redundant L5-20P plugs. Dual power cords can be plugged into separate power sources to provide redundancy to single-corded equipment. If there is a power failure or an under/over voltage, the PDU will switch to the secondary power source to insure continuous operation.<br><br> The LCD provides local monitoring of the PDU. Electrical current is displayed in amps and the LCD can be toggled to display input/output voltage, power usage (kW), and hardware/LCD firmware versions.<br><br> The PDU20MHVT10AT includes a SNMP/HTTP card slot for adding an RMCARD202/RMCARD203 (sold separately).<br><br> The unit has a rugged, industrial-grade metal housing and a 10-foot AC power cord. It can be mounted horizontally, includes a cord retention tray and is			[4483]
1			Black						1			"General InformationThe SmartMount&reg; Universal Flat Wall Mount series offers the most versatile installation features and mounting options. Horizontal and vertical adjustment abilities allow for post installation leveling and side-to-side positioning, making it easier than ever to find the perfect TV position. The SF650(P) models' low-profile design offers the sleek, aesthetically pleasing look to fit into any dcor. Security screws provided in the SF650 models deter tampering and theft. The open wall plate design offers total wall access, increasing the electrical and cable management options. The display can now simply be installed by a single person with the Hook-and-Hang&trade; system. The Easy-Glide&trade; adaptors hook onto the wall plate for an overall quick, simple, and secure installation.Product InformationDevice Supported:Flat Panel DisplayMaximum Load Capacity:175 lbMinimum Screen Size Supported:39""Maximum Screen Size Supported:75""Features:Anti-theftFeatures:AdjustableFeatures:Scratch ResistantPhysical CharacteristicsColor:Semi-gloss BlackMaterial:SteelHeight:30.9""Width:16.9""Depth:1.2""Weight (Approximate):5.30 lbMiscellaneousPackage Contents:<ul> <li>SmartMount Universal Flat Wall Mount for 39"" to 75"" Displays</li> <li>Wall and Display Installation Hardware</li> <li>Installation Instructions</li> </ul>Additional Information:<ul> <li>Universal mount fits displays with mounting patterns up to 742 x 405mm (29.21"" W x 15.95"" H)</li> <li>Low-profile design holds display only 1.20"" (30mm)</li> <li>Up to 0.25"" (6mm) of vertical adjustment on each universal display adaptor bracket for post-installation leveling and height adjustment fine-tuning</li> <li>Horizontal display adjustment up to 8.00"" (203mm) for centering display on wall Mounts to wood studs, concrete, cinder block or metal studs (metal stud accessory required)</li> </ul>Compatibility:LCD and Flat Panel Plasma ScreensCertifications & Standards:ULGreen Compliant:YesGreen Compliance Certificate/Authority:RoHSCountry of Origin:United StatesWarrantyLimited Warranty:5 Year"	Peerless SmartMount SF650P Universal Flat Wall Mount - Steel - 175 lb - Black	Peerless SmartMount SF650P Universal Flat Wall Mount - Steel - 175 lb - Black								[581514]
2									1			"Control Transformer, VA Rating 50VA, Input Voltage 277VAC, Output Voltage 24VAC, 55 Degrees C Temp. Rise, Fused Yes, 50/60 Hz, Transformer Type Encapsulated, 1 Phase, Mounting Panel, Enclosure Finish No Finish, Height 4.02 In., Depth 2.96 In., Width 3.00 In., Standards UL 506 Listed, cUL Listed, CSA Approved, NEMA, ANSI Requirements, CE Marking, Includes 2-Pole Class In.CC In. Fuse Block, Manufacturers Warranty Length 3 yr.<br><b>Features</b><ul><li>Depth : 2.96""</li><li>Height : 4.02""</li><li>Item : Control Transformer</li><li>Phase : 1</li><li>Width : 3.00""</li><li>Hz : 50/60</li><li>Input Voltage : 277VAC</li><li>Mounting : Panel</li><li>VA Rating : 50VA</li><li>Enclosure Finish : No Finish</li><li>Output Voltage : 24VAC</li><li>Green Environmental Attribute : Does Not Contain PVC</li><li>Temp. Rise : 55 Degrees C</li><li>Includes : 2-Pole Class ""CC"" Fuse Block</li><li>Manufacturers Warranty Length : 3 yr.</li><li>Standards : UL 506 Listed, cUL Listed, CSA Approved, NEMA, ANSI Requirements, CE Marking</li><li>Fused : Yes</li><li>Transformer Type : Encapsulated</li></ul>"	DAYTON 31EH66 Control Transformer Fused,4.02H x 3W In.						short description is not available			[4483]
3	Pcrush		Multicolor						19			<b>General Information</b><li>Product Type:   A/V Cable</li><li>Manufacturer Part Number:   255-047</li><li>Manufacturer Website Address:   http://www.steren.com</li><li>Manufacturer:   Steren Electronics, LLC</li><li>Product Name:   3.5mm to RCA Y-Cable</li><li>Brand Name:   Steren</li><b>Miscellaneous</b><b>Physical Characteristics</b><li>Material:   Polyvinyl Chloride (PVC) - Jacket</li><li>Weight (Approximate):   1.92 oz</li><b>Technical Information</b><li>Cable Length:   12 ft</li><li>Features:   Molded</li><li>Cable Type:   Component</li><b>Warranty</b><b>Safety Warning</b><b>Additional Product Specifications</b>	STEREN-CUSTOM INSTALL 255-047 STEREN MINI TO RCA STERO Y						<p>Steren 3.5mm to RCA Y-Cable 255-047</p><p>12ft</p>			[4537]
4	Walmart.com		Black						19			"<br><b>LG 47LN5700 47"" 1080p 120Hz LED HDTV:</b><ul><li>47"" LED backlit panel<br>With a 1920 x 1080 Full HD resolution<li>True 16:9 aspect ratio<br>View your movies as the director intended<li>Built-in digital tuner<br>Watch digital broadcasts, including HDTV programs where available<li>HDMI Inputs: 3<br>Enjoy a superior HD experience with HDMI, the one cable audio/video solution<li>47"" screen measured diagonally from corner to corner<li>Wall mountable<br>VESA standard 400mm x 400mm<li>Smart TV<br>Access premium content providers like Hulu Plus, Netflix and YouTube directly from your TV</ul><br><b>ENERGY STAR<sup>&reg;</sup></b><br>Products that are ENERGY STAR-qualified prevent greenhouse gas emissions by meeting strict energy efficiency guidelines set by the U.S. Environmental Protection Agency and the U.S. Department of Energy. The ENERGY STAR name and marks are registered marks owned by the U.S. government, as part of their energy efficiency and environmental activities.<BR><BR>TV stand sold separately. See all <b><a href=""http://www.walmart.com/cp/133114"" target=""_blank""> TV stands.</a></b></ul> &#10;<br><br>TV mount sold separately. See all <b> <a href=""http://www.walmart.com/cp/581514"">TV mounts.</a></b>"	"LG 47LN5700 47"" 1080p 120Hz LED (3.17"" ultra-slim) Smart HDTV"						"The LG 42LN5700 47"" 1080p 120Hz LED HDTV is a Smart TV which allows you to access premium content providers like Hulu Plus, Netflix and YouTube directly from your TV.<br><br><b>Note:</b> You must have a source of HD programming in order to take full advantage of the LG 47"" LED HDTV. Contact your local cable or satellite TV provider for details on how to upgrade."			[1229817, 1229821]
5			Multicolor						1			Features- Transformer Ground Connectors are used to Ground Transformers- Transformer Ground Connectors with 0-5 in--13 Mounting Thread- Transformer Ground Connectors are Made from High Conductivity Copper Alloy- Transformer Ground Connectors are Range Taking- Stainless Steel Nuts and Lock Washer- Wire Range - 1 - 10 SKU: MSPR7096	Morris 91902 Transformer Ground Connector						<b>Features</b>.			[4537]
6		Alan Tudyk, Alison Becker, Beth Dover, Dannah Phirman, Ray Wise							64			"Take a look at billionaire adventurer Reese Ballard's latest improbable quest and then go behind the scenes with America's favorite sitcom family, ""The Jordans."""	Newsreaders: Billionaire Goes to Hell / Sitcom Family (Season 2: Ep. 9) (2015)						short description is not available	"Take a look at billionaire adventurer Reese Ballard's latest improbable quest and then go behind the scenes with America's favorite sitcom family, ""The Jordans."""		[4483]
7									1			Power Grip RV Power Cord Adapter - These electrical adapters are equipped with power indicator light and contoured shape for easy removal from outlet. - Ampere Conversion: 15A Male to 30A Female, Type: Power Grip RV, Current Rating: 125V/ 1875W, Voltage Rating: 125V, Pkg Qty: 1, Package Type: Card	Camco Mfg. 15m-30f Electric Adapter 55223	15m-30f Electric Adapter								[4483]
8									19			"TV should be two things: smart and beautiful. The Samsung 48"" Class 3D Smart LED TV delivers on both. With an upgraded Smart Hub, finding what youre looking for is easier and more intuitive than ever. You can even ask for suggestions using S Recommendation and share content to and from your smartphone or tablet. What you see is even better. Discover whiter whites and deeper blacks with Micro Dimming. This precise contrast makes movies, shows and sports crystal clear. With the Samsung H6400, youll discover more of what you love and enjoy it all in stunning picture quality. Experience vivid color and dramatic contrast with Samsung LED TVs. Your favorite movies, sports and shows will be more vibrant, dynamic and detailed with Micro Dimming technology, which makes your whites whiter and your blacks deeper. Immerse in the movies you watch by wearing a pair of 3D glasses (2 included). It supports a wide range of input technologies such as four HDMI, three USB, a single Ethernet port and a <P> Refurbished products are products that were originally purchased and returned by customers like yourself. The term refurbished is used to describe products that were returned to their manufacturer's specification then tested and repackaged for sale. We utilize a third party of professional technicians who first troubleshoot and then perform any repairs that are necessary to restore the product to like new condition. Refurbished products represent a great value and we offer them with confidence knowing that every refurbished product was tested by a trained group of professionals. Refurbished products are warranted for up to 90 days after purchase. Any product failure not originating from defects in materials or workmanship will not be considered covered under warranty. Warranty terms applicable to refurbished products may vary; see below for specific warranty information and consider purchasing an extended service plan if you desire even more coverage."	SAMSUNG UN48H6400 48in 1080p 120Hz Apps QuadCore 3 (Refurbished)	SAMSUNG UN48H6400 48in 1080p 120Hz Apps QuadCore 3 (Refurbished)								[3304195]
9									1			<P><FONT size=2 face=Verdana>Prepare yourself for the ultimate evolution in real entertainment. 4 times the resolution of Full HD enhances everything you watch with precise detail. Enjoy the true value of 4K resolution on LG ULTRA HD TV.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>4K Resolution -</STRONG> ULTRA HD 4K is the newest industry standard for premium picture quality, The screen contains 8.3 million pixels, so the resolution is four times that of Full HD 1080p. Images look stunning, even on larger screens or when viewed up close.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>IPS 4K True Color Accuracy</STRONG> - One of the secrets behind LG TVs' outstanding UHD performance is the specially designed display panel. IPS 4K delivers true colors that remain more consistent at wide viewing angles. With IPS 4K, any seat can be the best in the house. IPS delivers authentic colors, virtually identical to the original image. Witness colors as true-to-life as nature intended, vibrant across even a large screen, with the stunning clarity of 4K resolution.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>ULTRA Luminance -</STRONG> ULTRA HD picture quality becomes even more dynamic with an extended range of brightness. By enabling higher peak brightness and an enhanced contrast ratio, ULTRA Luminance makes 4K images even more striking.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Tru-4K Engine</STRONG> - Enjoy the benefits of 4K resolution today. LG's Tru-4K HD Engine upscales the picture through a multi-step data analysis that enhances the details of broadcasts, movies, sports and videogames to near-4K quality, giving you the superior viewing experience you expect from an ULTRA HDTV.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>HEVC Decoder</STRONG> - Streaming 4K video uses HEVC (short for High Efficiency Video Coding) compression format, and is essential to ULTRA HD/4K, enabling next-generation video playback to meet the demands of UHD TVs. 4K video uses HEVC, and so the built-in HEVC decoder on this LG ULTRA HD television makes it ready to display 4K content.</FONT></P> <P><BR><FONT size=2 face=Verdana>LG webOS TV is designed to be obviously simple, so that it is easier to learn and more fun to use. Now, all you have to do is relax as webOS 2.0 makes the TV experience simpler than before.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Simple Switching</STRONG> - Switch back and forth between content and programs, apps and shows with the perfectly simple interface. Accessible at any time, the Launcher and Live Menu make it fast and easy to switch over from content to another.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Simple Discovery</STRONG> - Find and enjoy what you want to watch instantly at one place. Live TV broadcasts, VoD services, and apps&nbsp;- they're all incredibly easy to find. You can also receive recommendations that introduce you to even more great content on LG webOS TV.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Simple Connection -</STRONG> LG webOS TV was designed to assist you in every aspect of your viewing experience even from the initial setup to connecting external devices. Now simply get connected to your new Smart TV!</FONT></P> <P><BR><FONT size=2 face=Verdana>LG has added exciting new step-up audio options to its 2015 ULTRA HD TV lineup. The 4K experience is even better with theater-quality sound.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Multi Channel Speaker System -</STRONG> The built-in Multi Channel Speaker System on this LG UHD TV delivers rich, room-filling sound, for a high-end audio experience.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>ULTRA Surround -</STRONG> Let yourself be transported by LG's newest and most advanced solution for simulated multi-channel surround sound from the speakers built into your television.</FONT></P> <P><FONT size=2 face=Verdana><STRONG>Clear Voice II</STRONG> - Clear Voice II  ...	LG 55UF7600 - 55-inch 2160p 120Hz 4K UHD LED TV w/ WebOS Tilt/Hook-Up Bundle						E3LG55UF7600  <ul><li> TV Includes:</li><li>55UF7600 - 55-Inch 2160p 120Hz 4K LED HDTV</li><li>Stand</li><li>Magic Remote Control</li><li>Warranty</li></ul><ul><li>Bundle Includes:</li><li>55UF7600 - 55-Inch 2160p 120Hz 4K LED HDTV</li><li>Flat & Tilt Wall Mount Kit Ultimate Bundle for 32-60 inch TVs</li><li>6 Outlet Wall Tap w/ 2 USB Ports</li><li>Microfiber Cleaning Cloth</li></li></ul>			[1180168]
